N,instance,seed,gamma,beta,feasible,selected_card,E_opt,E_sel,gap
8,0,9234,3.7699111843077517,0.3141592653589793,1,3,-0.1291756449834597,-0.1291756449834597,0.0
8,1,9235,1.8849555921538759,2.827433388230814,1,3,-0.12305674382385161,-0.12305674382385161,0.0
8,2,9236,4.71238898038469,0.3141592653589793,1,3,-0.10443335843500612,-0.10443335843500612,0.0
8,3,9237,1.8849555921538759,2.827433388230814,1,3,-0.11871115751076271,-0.11871115751076271,0.0
8,4,9238,6.283185307179586,2.827433388230814,1,3,-0.12090409349244344,-0.12090409349244344,0.0
8,5,9239,5.969026041820607,2.827433388230814,1,3,-0.06655705242195342,-0.06655705242195342,0.0
8,6,9240,1.8849555921538759,2.827433388230814,1,3,-0.12314746275255069,-0.12314746275255069,0.0
8,7,9241,2.5132741228718345,0.3141592653589793,1,3,-0.10792989050054953,-0.10792989050054953,0.0
8,8,9242,5.654866776461628,2.827433388230814,1,3,-0.12258786219223548,-0.12258786219223548,0.0
8,9,9243,5.654866776461628,2.827433388230814,1,3,-0.11860914375065548,-0.11860914375065548,0.0
10,0,11234,1.8849555921538759,2.827433388230814,1,3,-0.11839539201927554,-0.11839539201927554,0.0
10,1,11235,5.654866776461628,0.47123889803846897,1,3,-0.10812338560762862,-0.10812338560762862,0.0
10,2,11236,1.8849555921538759,2.827433388230814,1,3,-0.1294490209450478,-0.1294490209450478,0.0
10,3,11237,5.340707511102648,1.7278759594743862,1,3,-0.11729509675772952,-0.11729509675772952,0.0
10,4,11238,5.654866776461628,2.827433388230814,1,3,-0.12416161583680757,-0.12416161583680757,0.0
10,5,11239,1.8849555921538759,2.827433388230814,1,3,-0.13033461035409702,-0.13033461035409702,0.0
10,6,11240,5.654866776461628,0.3141592653589793,1,3,-0.12040132695138796,-0.12040132695138796,0.0
10,7,11241,5.654866776461628,2.670353755551324,1,3,-0.12373386619166073,-0.10764533642543105,0.13002527328539903
10,8,11242,6.283185307179586,1.7278759594743862,1,3,-0.10607776502323985,-0.10607776502323985,0.0
10,9,11243,2.199114857512855,0.3141592653589793,1,3,-0.1253096744008327,-0.1253096744008327,0.0
12,0,13234,4.39822971502571,0.3141592653589793,1,3,-0.10711047860647317,-0.09126396732874156,0.1479454810014632
12,1,13235,1.8849555921538759,2.670353755551324,1,3,-0.13333998506430778,-0.09582647951050471,0.28133725630545775
12,2,13236,5.654866776461628,2.356194490192345,1,3,-0.14040066362299156,-0.0959034957130152,0.3169298973504969
12,3,13237,1.8849555921538759,2.670353755551324,1,3,-0.12517910559317416,-0.09124519876552022,0.2710828350055276
12,4,13238,3.7699111843077517,0.3141592653589793,1,3,-0.12399301564218256,-0.10276102834729586,0.17123534890189046
12,5,13239,3.7699111843077517,0.47123889803846897,1,3,-0.11872860439733478,-0.08317191986567696,0.2994786699645229
12,6,13240,5.969026041820607,2.670353755551324,1,3,-0.13190088623995067,-0.09361398589937082,0.2902702281387959
12,7,13241,5.654866776461628,2.670353755551324,1,3,-0.13757367017971966,-0.10565055831793967,0.23204376113595845
12,8,13242,5.654866776461628,2.5132741228718345,1,3,-0.13048751439468867,-0.09589085377739959,0.26513387719719866
12,9,13243,4.39822971502571,0.3141592653589793,1,3,-0.11111485622718065,-0.0860942618611509,0.22517775944265916
