N,mean_gap,median_gap,std_gap,exact_hit,feasible_rate,topM
8,0.48849882157258795,0.5676512409643435,0.28144840312454056,0.1,0.9,1
10,0.12969473812503476,0.25469846750207453,0.7075326921268832,0.2,0.5,1
12,0.9534249606932109,0.9743618309645443,0.051598856746110346,0.0,0.0,1
8,0.30118471751859077,0.3551585126310046,0.17425842893565377,0.2,1.0,16
10,0.24120255988370207,0.20054024265081677,0.3759081941967366,0.3,0.7,16
12,0.7797534294679728,0.7950235348279251,0.0805338713969315,0.0,0.1,16
8,0.0,0.0,0.0,1.0,1.0,256
10,0.013002527328539903,0.0,0.03900758198561971,0.9,1.0,256
12,0.2500635114443971,0.26810835610136313,0.05269014132911773,0.0,1.0,256
